"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000258484",23.5136572184447,22.5362352236814,1.92696790611094,11.6951793292524,1.34901934153895e-31,3.31637277231164e-29,"SPESP1",NA,"GO:0001669"
"ENSG00000145088",90.9954022345931,-3.74598913841242,0.320511635825442,-11.6875293115804,1.47618649755168e-31,3.57562761781967e-29,"EAF2",NA,"GO:0000977"
"ENSG00000180891",239.841527732234,4.8262378179965,0.413977376683813,11.6582163418139,2.08361479847489e-31,4.97379990517099e-29,"CUEDC1",NA,NA
"ENSG00000107984",1221.13424555716,10.3610202060294,0.889804395593045,11.6441548921816,2.45745568031155e-31,5.78239321577307e-29,"DKK1",NA,"GO:0000122"
"ENSG00000015285",108.713989989002,-6.52025587984131,0.560584875249644,-11.6311662474619,2.86160930367146e-31,6.63853054095388e-29,"WAS",NA,"GO:0002625"
"ENSG00000013588",687.221947085357,8.59556225694242,0.741758346401685,11.5880897042009,4.7357689073489e-31,1.08337291212422e-28,"GPRC5A",NA,"GO:0004930"
"ENSG00000137962",365.051845830034,7.29248520892606,0.629414124451555,11.5861480154746,4.84432465019129e-31,1.09302563442878e-28,"ARHGAP29",NA,"GO:0005096"
"ENSG00000204262",509.637427989355,8.66314949363896,0.752581783866558,11.5112399467472,1.15801300196428e-30,2.57751785883158e-28,"COL5A2",NA,"GO:0001501"
"ENSG00000137975",17.9706968965491,22.1323127095467,1.92438176138534,11.5009989980439,1.30397366225236e-30,2.86370002546114e-28,"CLCA2",NA,"GO:0004222"
"ENSG00000157110",368.992252609013,5.97191989282327,0.520052834492139,11.4832945745891,1.6006281941448e-30,3.46894039286302e-28,"RBPMS",NA,"GO:0000398"
"ENSG00000145632",508.401429901012,6.20847580917517,0.543185416346469,11.4297542281863,2.96948095336737e-30,6.35198971206674e-28,"PLK2",NA,"GO:0000082"
"ENSG00000168077",272.206922026712,8.59416867818613,0.75479757148045,11.3860576701772,4.90692294602641e-30,1.03617856210258e-27,"SCARA3",NA,"GO:0000139"
"ENSG00000070087",1455.31857139189,4.30953811383761,0.380069427880364,11.3388181150791,8.42749053985312e-30,1.75707843901166e-27,"PFN2",NA,"GO:0003785"
"ENSG00000074527",314.741078752515,9.62175679051165,0.855681801583256,11.2445499865822,2.46349797221433e-29,5.07203438754277e-27,"NTN4",NA,"GO:0005515"
"ENSG00000111799",679.014912369899,9.38658952816188,0.835459239715146,11.2352453380757,2.7373239576403e-29,5.56622998843129e-27,"COL12A1",NA,"GO:0001501"
"ENSG00000007384",160.313935773991,4.33198820720609,0.38792218233912,11.1671577559313,5.90399289050778e-29,1.18591057194578e-26,"RHBDF1",NA,"GO:0000139"
"ENSG00000126264",110.615134590948,-6.5004592868061,0.582414686480567,-11.1612214418686,6.31183560334381e-29,1.25255715930935e-26,"HCST",NA,"GO:0005102"
"ENSG00000174307",321.272155435395,6.16465677312209,0.554686177603181,11.1137739176408,1.07517369940586e-28,2.10823642891833e-26,"PHLDA3",NA,"GO:0005546"
