"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000162739",31.5040432259809,-8.81607894323941,0.854182132516945,-10.3210762759247,5.65852592099474e-25,7.53450979689872e-23,"SLAMF6",NA,"GO:0001779"
"ENSG00000105825",1261.50663414347,8.02377630814892,0.777578228248482,10.3189312877531,5.78636230637607e-25,7.64309024324602e-23,"TFPI2",NA,"GO:0004867"
"ENSG00000125868",2286.38253890304,2.27193802027716,0.220201610077428,10.3175359139213,5.87105544300828e-25,7.69341241424681e-23,"DSTN",NA,"GO:0005515"
"ENSG00000142156",1695.38014528724,7.02883879800568,0.682072226958083,10.305123886004,6.68055465595843e-25,8.68524708067162e-23,"COL6A1",NA,"GO:0001649"
"ENSG00000102096",703.044758945356,-4.35301671041917,0.422635789181415,-10.2996878680112,7.06902964984795e-25,9.11849598036246e-23,"PIM2","2.7.11.1","GO:0000082"
"ENSG00000138448",525.949839123245,3.22197986163229,0.312903011331588,10.297056100294,7.26506387942694e-25,9.29871858242001e-23,"ITGAV",NA,"GO:0001525"
"ENSG00000145623",311.493261079655,6.09083508157313,0.591966046780009,10.2891628915276,7.88589530509664e-25,9.96333126929146e-23,"OSMR",NA,"GO:0002675"
"ENSG00000196526",183.113846250114,4.7201082339809,0.45875599813058,10.2889297430774,7.90501118210394e-25,9.96333126929146e-23,"AFAP1",NA,"GO:0003779"
"ENSG00000178562",144.008923140093,-9.23007073019941,0.897396927812422,-10.2853825817072,8.20157061388685e-25,1.02587979095368e-22,"CD28",NA,"GO:0001772"
"ENSG00000161405",45.1179641283595,-6.03124829283476,0.586878138314399,-10.2768324445641,8.96248157518117e-25,1.1126280698332e-22,"IKZF3",NA,"GO:0000977"
"ENSG00000166741",481.378142928819,9.84558332158404,0.95868482569378,10.2698854281531,9.63189814392726e-25,1.18680798697301e-22,"NNMT","2.1.1.1","GO:0005829"
"ENSG00000172037",436.857837083385,4.79703449155617,0.467939985606521,10.2513882957416,1.16655805840861e-24,1.42674371128774e-22,"LAMB2",NA,"GO:0005178"
"ENSG00000084636",163.745620153165,7.99555800606519,0.780750416200541,10.2408629443644,1.30070992154663e-24,1.57911922901886e-22,"COL16A1",NA,"GO:0005178"
"ENSG00000139324",116.273337496931,1.96951831240538,0.193366287159881,10.185427570303,2.30345042809488e-24,2.77607810352369e-22,"TMTC3",NA,"GO:0005515"
"ENSG00000151239",759.227010682859,1.78359672459166,0.175455186499801,10.1655400457124,2.82551818466465e-24,3.38058918456508e-22,"TWF1",NA,"GO:0003779"
"ENSG00000142173",1749.26125345104,7.4006479082176,0.729312382609339,10.1474321356502,3.40196906980465e-24,4.04100081378018e-22,"COL6A2",NA,"GO:0005515"
"ENSG00000139289",360.695312706318,4.38252675686131,0.433840868655951,10.1016918264028,5.42972577853176e-24,6.40358588066699e-22,"PHLDA1",NA,"GO:0000086"
"ENSG00000144810",556.17033021664,10.1566056757484,1.00608187737155,10.0952078595065,5.80080502582198e-24,6.79270154477636e-22,"COL8A1",NA,"GO:0001525"
"ENSG00000134013",1062.22220074292,5.64726618682777,0.559461868112477,10.0941038320996,5.86644484120713e-24,6.82118808261767e-22,"LOXL2",NA,"GO:0001666"
"ENSG00000124145",1041.16430782525,4.45986182905956,0.441911234506655,10.0922119213342,5.98064301048682e-24,6.90534242980056e-22,"SDC4",NA,"GO:0001523"
"ENSG00000137801",3145.73295316642,6.03541890275846,0.598380834233206,10.0862503567524,6.35508639090719e-24,7.28672440279643e-22,"THBS1",NA,"GO:0000187"
"ENSG00000115648",270.829679357663,7.13267920841806,0.709523430165636,10.0527747290219,8.93164556520114e-24,1.01703724087611e-21,"MLPH",NA,"GO:0003779"
"ENSG00000081923",178.647165522956,4.80085509367804,0.478432543583656,10.0345496101032,1.07448639167386e-23,1.2151263570498e-21,"ATP8B1",NA,"GO:0000287"
"ENSG00000149591",2573.83580111906,6.07947359788188,0.605979040744472,10.0324816356899,1.09723571162896e-23,1.23241216562625e-21,"TAGLN",NA,"GO:0005515"
"ENSG00000196754",1536.88577701068,6.94639937188606,0.693754064154732,10.0127692662234,1.33949566057593e-23,1.49435221971413e-21,"S100A2",NA,"GO:0005509"
"ENSG00000114019",380.000097886537,4.62948605685244,0.462612296815039,10.0072697780089,1.41606528215857e-23,1.56917140092082e-21,"AMOTL2",NA,"GO:0005515"
"ENSG00000120280",39.6422316273075,-9.58155016106464,0.961784231227487,-9.96226580761892,2.22923252618904e-23,2.45379054932715e-21,"CXorf21",NA,NA
"ENSG00000115486",209.17274138633,1.82961457307111,0.183890416308721,9.94948301166218,2.53496678565155e-23,2.77184348330416e-21,"GGCX",NA,"GO:0005789"
"ENSG00000005884",1102.76868846761,5.31348766549769,0.534295487110762,9.94484848492869,2.65577862834802e-23,2.88483953504303e-21,"ITGA3",NA,"GO:0001764"
"ENSG00000143110",52.1991400688181,-5.42580093437429,0.545824212996931,-9.94056475542393,2.77250787815292e-23,2.99195278275705e-21,"C1orf162",NA,"GO:0016021"
"ENSG00000132465",3111.53603645501,-9.15645744046212,0.922530599667591,-9.92536989424677,3.2290324351116e-23,3.46198406078751e-21,"JCHAIN",NA,"GO:0001895"
"ENSG00000152137",118.243713436023,6.28739209043993,0.634937821343626,9.90237449886802,4.06506812490144e-23,4.33021547162888e-21,"HSPB8",NA,"GO:0005515"
"ENSG00000173918",139.692419645386,6.88327892332549,0.695188742612541,9.90130953136253,4.10859493244069e-23,4.34852634163642e-21,"C1QTNF1",NA,"GO:0005515"
"ENSG00000185567",252.792028339935,7.14672724494947,0.724661755955442,9.86215594546832,6.07311294568821e-23,6.38682597746866e-21,"AHNAK2",NA,"GO:0005515"
"ENSG00000143850",119.127879670619,7.01328180106264,0.711758714820908,9.85345406389203,6.6227997856585e-23,6.92082577601313e-21,"PLEKHA6",NA,NA
"ENSG00000100365",150.450899753471,-9.03256891024208,0.91708241527006,-9.84924447339032,6.90611521622401e-23,7.17150115314935e-21,"NCF4",NA,"GO:0002479"
"ENSG00000204482",75.6694399179596,-7.50285624035404,0.762580290379572,-9.83877545093582,7.66379306812354e-23,7.90855545923674e-21,"LST1",NA,"GO:0000139"
"ENSG00000058085",580.639858807193,7.89502881213375,0.802825103327901,9.83405822688775,8.03155174475917e-23,8.23658079861606e-21,"LAMC2",NA,"GO:0005576"
"ENSG00000168542",2368.54340902493,9.01823502431252,0.917906362215277,9.82478757696797,8.80594851570001e-23,8.97500098411869e-21,"COL3A1",NA,"GO:0001501"
"ENSG00000066294",24.5941432150136,-8.76855005066698,0.893003469603565,-9.81916683320351,9.31098837063479e-23,9.43151711580068e-21,"CD84",NA,"GO:0002250"
"ENSG00000150093",5287.63406144295,2.81473499963314,0.286791541469327,9.8145677003315,9.74547977049444e-23,9.81016324724882e-21,"ITGB1",NA,"GO:0000082"
"ENSG00000112769",442.920782456166,7.83745942738666,0.798602532670085,9.81396765820731,9.80362749558509e-23,9.81016324724882e-21,"LAMA4",NA,"GO:0005102"
"ENSG00000073711",72.223226170696,4.11085493858899,0.419068326464351,9.80950999869633,1.02464898899892e-22,1.01915538899766e-20,"PPP2R3A",NA,"GO:0000159"
